trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint
EZ_rou0_tr0_0,08:00:00,08:00:10,1230,1,0,0,0
EZ_rou0_tr0_0,08:09:35,08:09:45,1231,2,0,0,0
EZ_rou0_tr0_0,08:29:16,08:29:26,1232,3,0,0,0
EZ_rou0_tr0_1,08:10:00,08:10:10,1230,1,0,0,0
EZ_rou0_tr0_1,08:19:35,08:19:45,1231,2,0,0,0
EZ_rou0_tr0_1,08:39:16,08:39:26,1232,3,0,0,0
EZ_rou0_tr0_2,08:20:00,08:20:10,1230,1,0,0,0
EZ_rou0_tr0_2,08:29:35,08:29:45,1231,2,0,0,0
EZ_rou0_tr0_2,08:49:16,08:49:26,1232,3,0,0,0
EZ_rou0_tr0_3,08:30:00,08:30:10,1230,1,0,0,0
EZ_rou0_tr0_3,08:39:35,08:39:45,1231,2,0,0,0
EZ_rou0_tr0_3,08:59:16,08:59:26,1232,3,0,0,0
EZ_rou0_tr0_4,08:40:00,08:40:10,1230,1,0,0,0
EZ_rou0_tr0_4,08:49:35,08:49:45,1231,2,0,0,0
EZ_rou0_tr0_4,09:09:16,09:09:26,1232,3,0,0,0
EZ_rou0_tr0_5,08:50:00,08:50:10,1230,1,0,0,0
EZ_rou0_tr0_5,08:59:35,08:59:45,1231,2,0,0,0
EZ_rou0_tr0_5,09:19:16,09:19:26,1232,3,0,0,0
EZ_rou0_tr0_6,09:00:00,09:00:10,1230,1,0,0,0
EZ_rou0_tr0_6,09:09:35,09:09:45,1231,2,0,0,0
EZ_rou0_tr0_6,09:29:16,09:29:26,1232,3,0,0,0
EZ_rou1_tr0_0,08:00:00,08:00:10,1230,1,0,0,0
EZ_rou1_tr0_0,08:27:54,08:28:04,1233,2,0,0,0
EZ_rou1_tr0_0,09:05:52,09:06:02,1234,3,0,0,0
EZ_rou1_tr0_1,08:10:00,08:10:10,1230,1,0,0,0
EZ_rou1_tr0_1,08:37:54,08:38:04,1233,2,0,0,0
EZ_rou1_tr0_1,09:15:52,09:16:02,1234,3,0,0,0
EZ_rou1_tr0_2,08:20:00,08:20:10,1230,1,0,0,0
EZ_rou1_tr0_2,08:47:54,08:48:04,1233,2,0,0,0
EZ_rou1_tr0_2,09:25:52,09:26:02,1234,3,0,0,0
EZ_rou1_tr0_3,08:30:00,08:30:10,1230,1,0,0,0
EZ_rou1_tr0_3,08:57:54,08:58:04,1233,2,0,0,0
EZ_rou1_tr0_3,09:35:52,09:36:02,1234,3,0,0,0
EZ_rou1_tr0_4,08:40:00,08:40:10,1230,1,0,0,0
EZ_rou1_tr0_4,09:07:54,09:08:04,1233,2,0,0,0
EZ_rou1_tr0_4,09:45:52,09:46:02,1234,3,0,0,0
EZ_rou1_tr0_5,08:50:00,08:50:10,1230,1,0,0,0
EZ_rou1_tr0_5,09:17:54,09:18:04,1233,2,0,0,0
EZ_rou1_tr0_5,09:55:52,09:56:02,1234,3,0,0,0
EZ_rou1_tr0_6,09:00:00,09:00:10,1230,1,0,0,0
EZ_rou1_tr0_6,09:27:54,09:28:04,1233,2,0,0,0
EZ_rou1_tr0_6,10:05:52,10:06:02,1234,3,0,0,0
EZ_rou2_tr0_0,08:00:00,08:00:10,1230,1,0,0,0
EZ_rou2_tr0_0,08:12:58,08:13:08,1235,2,0,0,0
EZ_rou2_tr0_0,08:37:35,08:37:45,1236,3,0,0,0
EZ_rou2_tr0_1,08:10:00,08:10:10,1230,1,0,0,0
EZ_rou2_tr0_1,08:22:58,08:23:08,1235,2,0,0,0
EZ_rou2_tr0_1,08:47:35,08:47:45,1236,3,0,0,0
EZ_rou2_tr0_2,08:20:00,08:20:10,1230,1,0,0,0
EZ_rou2_tr0_2,08:32:58,08:33:08,1235,2,0,0,0
EZ_rou2_tr0_2,08:57:35,08:57:45,1236,3,0,0,0
EZ_rou2_tr0_3,08:30:00,08:30:10,1230,1,0,0,0
EZ_rou2_tr0_3,08:42:58,08:43:08,1235,2,0,0,0
EZ_rou2_tr0_3,09:07:35,09:07:45,1236,3,0,0,0
EZ_rou2_tr0_4,08:40:00,08:40:10,1230,1,0,0,0
EZ_rou2_tr0_4,08:52:58,08:53:08,1235,2,0,0,0
EZ_rou2_tr0_4,09:17:35,09:17:45,1236,3,0,0,0
EZ_rou2_tr0_5,08:50:00,08:50:10,1230,1,0,0,0
EZ_rou2_tr0_5,09:02:58,09:03:08,1235,2,0,0,0
EZ_rou2_tr0_5,09:27:35,09:27:45,1236,3,0,0,0
EZ_rou2_tr0_6,09:00:00,09:00:10,1230,1,0,0,0
EZ_rou2_tr0_6,09:12:58,09:13:08,1235,2,0,0,0
EZ_rou2_tr0_6,09:37:35,09:37:45,1236,3,0,0,0
