,Hora_Ini_E,Per_hog,Turismos,Sexo,Edad,crnt_tur,O_long,O_lat,D_long,D_lat,drive_tt,distance,original_distance,Coworking,Rem_work,walk_tt,transit_tt,Tipo_familia,Mun_Ori,Mun_Des,prediction,Mode,CO2,CO2_worst_case
0,99,2,3,2,3,1,-1.911725242027824,43.31107711854578,-2.033693,43.256347,14.037133333333333,2987.5299999999997,14661.301,1,0,242.55316666666667,49.991,4,67,69,2,Car,0.5726099166666665,14.050413458333331
1,97,1,2,1,4,1,-1.8986722932272069,43.3098632949247,-2.033693,43.256347,16.351333333333333,8392.52,15974.84,1,0,259.78025,50.417,3,67,69,2,Car,1.6085663333333329,15.309221666666664
2,99,2,3,2,3,1,-1.9118876377086231,43.311554222121856,-2.033693,43.256347,14.123566666666667,2814.635,14695.88,1,0,244.59786666666665,50.312,4,67,69,2,Car,0.5394717083333332,14.083551666666663
3,97,1,3,1,4,1,-1.894281506875208,43.30890901467812,-2.033693,43.256347,15.109866666666667,10105.130000000001,16048.096,1,0,266.37218333333334,53.459,5,67,69,2,Car,1.936816583333333,15.379425333333328
4,97,1,2,2,4,1,-1.8980897442731728,43.31272703953352,-2.033693,43.256347,15.988949999999999,7864.515,15797.317,1,0,261.3415166666667,50.911,3,67,69,2,Car,1.5073653749999996,15.13909545833333
5,99,2,3,2,3,1,-1.9058372642490795,43.3122915496518,-2.033693,43.256347,15.331816666666667,4220.110000000001,15179.198,1,0,251.76893333333334,47.06,4,67,69,2,Car,0.8088544166666666,14.546731416666663
6,103,2,2,2,3,1,-1.9089895863498887,43.31399663024324,-2.033693,43.256347,15.067316666666667,0.0,15073.387,1,0,248.41240000000002,51.304,2,67,69,2,Car,0.0,14.44532920833333
7,99,2,3,2,5,1,-1.903873319238777,43.31312493236364,-2.033693,43.256347,16.006183333333333,5419.325,15469.91,1,0,256.43078333333335,49.695,6,67,69,2,Car,1.038703958333333,14.825330416666663
8,100,2,2,2,5,2,-1.899036491637472,43.31249182055583,-2.033693,43.256347,16.748966666666668,7252.445,15746.825,1,0,260.33596666666665,50.163,2,67,69,2,Car,1.390051958333333,15.090707291666664
9,99,2,3,2,3,1,-1.9037308363731915,43.31594902573766,-2.033693,43.256347,15.632233333333334,5656.325000000001,15355.679,1,0,256.96895,51.869,4,67,69,2,Car,1.0841289583333333,14.715859041666665
10,103,2,2,1,3,1,-1.9067584149298509,43.318737228790766,-2.033693,43.256347,14.35225,2966.63,14836.686,1,0,251.31453333333332,53.351,2,67,69,2,Car,0.5686040833333332,14.218490749999997
11,99,2,3,2,5,1,-1.9005227361968453,43.31222964908327,-2.033693,43.256347,16.5257,6507.975,15597.931,1,0,258.01773333333335,50.979,6,67,69,2,Car,1.2473618749999997,14.948017208333331
12,99,2,3,2,3,1,-1.9023360863276304,43.31528535628448,-2.033693,43.256347,15.624666666666666,5641.185,15352.651,1,0,257.44561666666664,51.966,4,67,69,2,Car,1.0812271249999998,14.71295720833333
13,103,2,2,2,3,1,-1.907977044027914,43.31216081919536,-2.033693,43.256347,15.1226,2621.0899999999997,15095.504,1,0,249.10358333333335,47.04,2,67,69,2,Car,0.5023755833333332,14.466524666666665
14,100,2,2,2,5,2,-1.9006492611840464,43.31194572311819,-2.033693,43.256347,16.244733333333333,6449.705,15544.371,1,0,257.42875,50.667,2,67,69,1,PT,0.2903590469913793,14.896688874999997
15,103,2,2,2,3,1,-1.9047960206134904,43.31126920483012,-2.033693,43.256347,15.48675,4959.264999999999,15241.167,1,0,251.54486666666665,48.67,2,67,69,2,Car,0.9505257916666665,14.606118374999996
16,103,2,2,1,3,1,-1.9080108344615605,43.31458226296263,-2.033693,43.256347,15.1895,244.36499999999998,15122.26,1,0,250.38123333333334,50.91,2,67,69,2,Car,0.04683662499999999,14.492165833333331
17,97,1,2,2,4,1,-1.90742776847942,43.31506977227039,-2.033693,43.256347,15.250166666666667,365.7,15146.527,1,0,249.85466666666667,49.947,3,67,69,2,Car,0.07009249999999999,14.515421708333331
18,99,2,3,2,3,1,-1.9053882504172168,43.29025147591379,-2.033693,43.256347,18.106316666666665,17289.715,13288.748,1,0,225.51955,57.101,4,67,69,2,Car,3.3138620416666664,12.735050166666664
19,103,2,2,2,3,1,-1.904225287663372,43.308352245667606,-2.033693,43.256347,15.262666666666666,7244.34,15151.53,1,0,250.62531666666666,53.948,2,67,69,2,Car,1.3884984999999996,14.520216249999997
20,99,2,3,2,5,1,-1.9029722266894908,43.31473214248491,-2.033693,43.256347,15.487933333333332,4851.650000000001,15266.666,1,0,256.46543333333335,51.587,6,67,69,2,Car,0.9298995833333332,14.630554916666663
21,103,2,2,1,3,1,-1.9105662739558225,43.31569287145727,-2.033693,43.256347,15.20875,2921.93,15129.965,1,0,244.73193333333333,52.884,2,67,69,2,Car,0.5600365833333332,14.499549791666665
22,100,2,2,2,5,2,-1.899516320502736,43.31287524025499,-2.033693,43.256347,16.797366666666665,6878.4349999999995,15672.023,1,0,260.0866666666667,51.119,2,67,69,1,PT,0.30966002807758625,15.019022041666663
23,97,1,2,1,4,1,-1.911544054290872,43.28582436693907,-2.033693,43.256347,17.30521666666667,25625.68,12183.872,1,0,213.99311666666665,58.367,3,67,69,2,Car,4.911588666666667,11.676210666666664
24,103,2,2,1,3,1,-1.9064258399235607,43.317619112618544,-2.033693,43.256347,14.2681,3586.29,14809.987,1,0,252.69286666666667,52.953,2,67,69,2,Car,0.6873722499999999,14.19290420833333
