Unnamed: 0,Com_Ori,Com_Des,Mun_Ori,Mun_Des,Modo,Hora_Ini,Recur,Municipio,Per_hog,Turismos,Motos,Tipo_familia,Sexo,Edad,Actividad,crnt_tur,Año,Income,Income_Percentile,O_long,O_lat,D_long,D_lat
0,Donostialdea,Donostialdea,Donostia/San Sebastian,Errenteria,Autobús interurbano,18:00,22,Errenteria,2,2,1,2 adultos con niño(s),2,5,1,1,2021,21756.57,1,-1.951619540841184,43.31823501756152,-2.033693,43.256347
1,Donostialdea,Donostialdea,Pasaia,Oiartzun,Coche conductor,07:45,22,Pasaia,1,2,1,Hogar de una persona,2,5,1,1,2021,26603.66,4,-1.922338897995158,43.32654237608949,-2.033693,43.256347
2,Donostialdea,Donostialdea,Errenteria,Lezo,Moto,06:00,22,Errenteria,2,2,2,2 adultos con niño(s),1,4,1,1,2021,26210.41,4,-1.9029046489763872,43.31394532776289,-2.033693,43.256347
3,Donostialdea,Donostialdea,Errenteria,Lezo,Coche conductor,07:40,22,Errenteria,2,3,2,Otros hogares con niños,1,5,1,1,2021,27265.51,4,-1.8981666727503133,43.31136789232981,-2.033693,43.256347
4,Donostialdea,Donostialdea,Andoain,Donostia/San Sebastian,Coche conductor,16:05,22,Donostia/San Sebastian,2,2,1,2 adultos con niño(s),1,5,1,1,2021,24223.07,2,-2.016226394909,43.22041921469838,-2.033693,43.256347
5,Donostialdea,Donostialdea,Urnieta,Donostia/San Sebastian,Coche conductor,18:00,22,Donostia/San Sebastian,2,3,1,2 adultos con niño(s),1,5,1,1,2021,25818.26,3,-1.9911532962411675,43.24917705074638,-2.033693,43.256347
6,Bidasoa,Donostialdea,Irun,Errenteria,Coche conductor,16:00,22,Errenteria,2,2,2,2 adultos con niño(s),2,4,1,1,2021,22860.81,1,-1.8021464952856228,43.334011794502025,-2.033693,43.256347
7,Donostialdea,Donostialdea,Oiartzun,Errenteria,Coche conductor,14:50,22,Oiartzun,2,3,2,Otros hogares con niños,2,3,1,1,2021,21396.285,1,-1.8546825551149009,43.29275553329048,-2.033693,43.256347
8,Donostialdea,Donostialdea,Errenteria,Donostia/San Sebastian,Autobús interurbano,08:10,22,Errenteria,2,3,1,2 adultos con niño(s),2,3,4,1,2021,13135.685,1,-1.9117252420278237,43.31107711854578,-2.033693,43.256347
9,Bidasoa,Donostialdea,Irun,Lezo,Coche conductor,14:00,21,Lezo,1,2,1,2 adultos,2,3,1,1,2021,19166.125,1,-1.8231534034568997,43.32947929623149,-2.033693,43.256347
