Mun_Ori,Mun_Des,Hora_Ini,Per_hog,Turismos,Tipo_familia,Sexo,Edad,crnt_tur,O_long,O_lat,D_long,D_lat
Donostia/San Sebastian,Errenteria,18:00,2,2,2 adultos con niño(s),2,5,1,-1.951619540841184,43.31823501756152,-2.033693,43.256347
Pasaia,Oiartzun,07:45,1,2,Hogar de una persona,2,5,1,-1.922338897995158,43.32654237608949,-2.033693,43.256347
Errenteria,Lezo,06:00,2,2,2 adultos con niño(s),1,4,1,-1.9029046489763872,43.31394532776289,-2.033693,43.256347
Errenteria,Lezo,07:40,2,3,Otros hogares con niños,1,5,1,-1.8981666727503133,43.31136789232981,-2.033693,43.256347
Andoain,Donostia/San Sebastian,16:05,2,2,2 adultos con niño(s),1,5,1,-2.016226394909,43.22041921469838,-2.033693,43.256347
Urnieta,Donostia/San Sebastian,18:00,2,3,2 adultos con niño(s),1,5,1,-1.9911532962411675,43.24917705074638,-2.033693,43.256347
Irun,Errenteria,16:00,2,2,2 adultos con niño(s),2,4,1,-1.8021464952856228,43.334011794502025,-2.033693,43.256347
Oiartzun,Errenteria,14:50,2,3,Otros hogares con niños,2,3,1,-1.8546825551149009,43.29275553329048,-2.033693,43.256347
Errenteria,Donostia/San Sebastian,08:10,2,3,2 adultos con niño(s),2,3,1,-1.9117252420278237,43.31107711854578,-2.033693,43.256347
Irun,Lezo,14:00,1,2,2 adultos,2,3,1,-1.8231534034568997,43.32947929623149,-2.033693,43.256347
